Word	Annotation	Sense	Part of Speech	Level	English	Russian
verbinden, verbindet, verband, hat verbunden	verbinden, verbindet, verband, hat verbunden		verb	B1	to connect, link, unite	соединить
Milliarde, Mrd.	Milliarde, Mrd.		die	A2	billion	миллиард
endlich	endlich		adv	A2	finally, at last	наконец
Energie	die Energie, -n		die	B1	energy	энергия
plötzlich	plötzlich		adv	A2	suddenly	внезапно
danach	danach		pron	B1	after it, afterwards	после этого
Kraft	die Kraft, -̈e		die	B1	strength, power	сила
lieber	lieber		adv	A1	rather	дорогой
gehören, gehört, gehörte, hat gehört	gehören, gehört, gehörte, hat gehört		verb	A1	to belong	принадлежать
einsetzen, setzt ein, setzte ein, hat eingesetzt	einsetzen, setzt ein, setzte ein, hat eingesetzt		verb	B1	to put in, insert	вставил
Gefühl	das Gefühl, -e		das	B1	feeling	чувство
trotzdem	trotzdem		adv	B1	nevertheless	в любом случае
befinden, befindet, befand, hat befunden	befinden (sich), befindet, befand, hat befunden		verb	B1	to be	нашел
Information	die Information, -en		die	A1	information	информация
dadurch	dadurch		pron	A2	through it, as a result, as a consequence	тем самым
dagegen	dagegen		pron	A2	against it, on the other hand	против этого
Weise	die Weise, -n		die	A2	way, manner	путь
Zukunft	die Zukunft, -̈e		die	B1	future	будущее
wachsen, wächst, wuchs, ist gewachsen	wachsen, wächst, wuchs, ist gewachsen		verb	B1	to grow	расти
bitte	bitte		adv	A1	please	пожалуйста
weiß	weiß		adj	A2	white	белый
Text	der Text, -e		der	A1	text	текст
schwarz	schwarz		adj	A2	black	черный
sterben, stirbt, starb, ist gestorben	sterben, stirbt, starb, ist gestorben		verb	A2	to die	умереть
Markt	der Markt, -̈e		der	A2	market	рынок
rot	rot		adj	A2	red	красный
halt	halt		part	A2	just, simply	стоп
Meter, m	Meter, m		der	A2	meter	метры
nahe, nah	nahe, nah		adj, prep	A2	near(by), close; near, close to	близко
Hilfe	die Hilfe, -n		die	A1	help	помощь
Kapitel	das Kapitel, -		das	B1	chapter	глава
ausgehen, geht aus, ging aus, ist ausgegangen	ausgehen, geht aus, ging aus, ist ausgegangen		verb	A2	to go out, assume	выйти
Bedeutung	die Bedeutung, -en		die	B1	meaning, significance	значение
betrachten, betrachtet, betrachtete, hat betrachtet	betrachten, betrachtet, betrachtete, hat betrachtet		verb	A2	to look at, consider	посмотрел
Chemie	die Chemie, -n		die	A2	chemistry	химия
Luft	die Luft, -̈e		die	B1	air	воздух
Körper	der Körper, -		der	A2	body	тело
Struktur	die Struktur, -en		die	A2	structure	структура
stimmen, stimmt, stimmte, hat gestimmt	stimmen, stimmt, stimmte, hat gestimmt		verb	B1	to be correct, vote, tune	согласен
bitten, bittet, bat, hat gebeten	bitten, bittet, bat, hat gebeten		verb	A1	to request, ask	спросить
Jahrhundert	das Jahrhundert, -e		das	A2	century	век
wahrscheinlich	wahrscheinlich		adj, adv	A2	likely, probable; probably, likely	вероятно
öffentlich	öffentlich		adj	B1	public	общественный
euch	euch		pron	A1	you, yourselves	ты
insgesamt	insgesamt		adv	B1	in all, altogether, in total	в целом
anfangen, fängt an, fing an, hat angefangen	anfangen, fängt an, fing an, hat angefangen		verb	A1	to begin, start	начать
genug	genug		adv	A2	enough	достаточно
Deutsche	das Deutsche		der, die	A2	German	немцы
verändern, verändert, veränderte, hat verändert	verändern, verändert, veränderte, hat verändert		verb	A2	to change	изменилось
Wohnung	die Wohnung, -en		die	A1	apartment, flat	квартира
gelingen, gelingt, gelang, ist gelungen	gelingen, gelingt, gelang, ist gelungen		verb	B1	to succeed	добиться успеха
bald	bald		adv	A1	soon	скоро
gering	gering		adj	B1	low, small	низкий
Film	der Film, -e		der	A1	film, movie	фильм
kaufen, kauft, kaufte, hat gekauft	kaufen, kauft, kaufte, hat gekauft		verb	A1	to buy	купить
ansehen, sieht an, sah an, hat angesehen	ansehen, sieht an, sah an, hat angesehen		verb	A2	to look at, watch	смотреть
öffnen, öffnet, öffnete, hat geöffnet	öffnen, öffnet, öffnete, hat geöffnet		verb	A1	to open	открыт
Musik	die Musik, -en		die	A2	music	музыка
schauen, schaut, schaute, hat geschaut	schauen, schaut, schaute, hat geschaut		verb	B1	to look	смотри
Stück	das Stück, -e		das	A2	piece	кусок
besondere	besondere (r, s)		adj	A2	special	особенный
tot	tot		adj	A1	dead	мертвый
Gott	der Gott, -̈er		der	B1	God	бог
völlig	völlig		adj	B1	completely, absolutely	полностью
positiv	positiv		adj	B1	positive	позитивный
Gespräch	das Gespräch, -e		das	A1	conversation	разговор
darum	darum		pron	A2	around it, therefore	вот почему
Kunde	der Kunde, -n		der	A1	customer, client	клиент
Menge	die Menge, -n		die	A2	quantity, amount	количество
Regierung	die Regierung, -en		die	A2	rule, government	правительство
Antwort	die Antwort, -en		die	A1	answer, reply	ответ
annehmen, nimmt an, nahm an, hat angenommen	annehmen, nimmt an, nahm an, hat angenommen		verb	B1	to accept, assume	принять
falsch	falsch		adj	A1	false, wrong	неправильно
Zusammenhang	der Zusammenhang, -̈e		der	B1	connection, context	соединение
langsam	langsam		adj	A1	slow	медленно
Arm	der Arm, -e		der	A1	arm	бедный
nachdem	nachdem		conj	B1	after	после
Tisch	der Tisch, -e		der	A1	table	стол
rufen, ruft, rief, hat gerufen	rufen, ruft, rief, hat gerufen		verb	A2	to call	звонок
bieten, bietet, bot, hat geboten	bieten, bietet, bot, hat geboten		verb	B1	to offer	предложение
Herz	das Herz, -en		das	A1	heart	сердце
zusammen	zusammen		adv	A1	together	вместе
inzwischen	inzwischen		adv	B1	in the meantime	тем временем
ebenso	ebenso		adv	B1	just as, as much as, as well	аналогично
Boden	der Boden, -̈		der	B1	ground, floor, bottom	пол
bevor	bevor		conj	B1	before	раньше
verwenden, verwendet, verwendete, hat verwendet	verwenden, verwendet, verwendete, hat verwendet		verb	B1	to use	использовать
Politik	die Politik, -en		die	B1	politics	политика
Tod	der Tod, -e		der	B1	death	смерть
Erfolg	der Erfolg, -e		der	B1	success	успех
zudem	zudem		adv	A2	moreover, furthermore, besides	также
Bank	die Bank, -̈e		die	A1	bank, bench	скамейка
ab	ab		prep	A1	off, away	выкл.
persönlich	persönlich		adj	B1	personal	личный
Präsident	der Präsident, -en		der	A2	president	президент
holen, holt, holte, hat geholt	holen, holt, holte, hat geholt		verb	A1	to get, fetch	принести
Junge	der Junge, -n		der	A1	boy	мальчик
sogenannt	sogenannt		adj	B1	so-called	так называемый
Polizei	die Polizei, -en		die	A1	police	полиция
Chance	die Chance, -n		die	B1	chance	шанс
gewiss	gewiss		adj	A2	certain	конечно
innerhalb	innerhalb		prep	B1	within	внутри
Kunst	die Kunst, -̈e		die	A2	art	искусство
Lage	die Lage, -n		die	B1	situation, location	расположение
Schüler	der Schüler, -		der	A1	pupil, student (USA)	студент
gesamt	gesamt		adj	B1	whole, entire	всего
Druck	der Druck, -̈e		der	B1	pressure, printing	давление
verschwinden, verschwindet, verschwand, ist verschwunden	verschwinden, verschwindet, verschwand, ist verschwunden		verb	B1	to disappear	исчезнуть
wohnen, wohnt, wohnte, hat gewohnt	wohnen, wohnt, wohnte, hat gewohnt		verb	A1	to live	жить
bewegen, bewegt, bewegte, hat bewegt	bewegen, bewegt, bewegte, hat bewegt		verb	B1	to move	двигаться
enthalten, enthält, enthielt, hat enthalten	enthalten, enthält, enthielt, hat enthalten		verb	B1	to contain	содержать
aufnehmen, nimmt auf, nahm auf, hat aufgenommen	aufnehmen, nimmt auf, nahm auf, hat aufgenommen		verb	B1	to take in, record, include	запись
Kosten	Kosten		die (pl)	A1	costs, expenses	затраты
Wintersemester	das Wintersemester, -		das	A2	winter semester	зимний семестр
merken, merkt, merkte, hat gemerkt	merken, merkt, merkte, hat gemerkt		verb	A2	to notice, remember	заметить
fest	fest		adj	A2	firm, solid	фиксированный
aktuell	aktuell		adj	A2	current	в настоящее время
Begriff	der Begriff, -e		der	A2	concept, idea, term	срок
erleben, erlebt, erlebte, hat erlebt	erleben, erlebt, erlebte, hat erlebt		verb	B1	to experience	опыт
relativ	relativ		adj	B1	relative	относительный
laut	laut		prep	A1	loud	громкий
Fuß	der Fuß, -̈e		der	A1	foot	нога
Daten	Daten		die (pl)	B1	data	данные
Krieg	der Krieg, -e		der	B1	war	война
Gast	der Gast, -̈e		der	A1	guest	гость
Aussage	die Aussage, -n		die	A1	statement	заявление
Gesetz	das Gesetz, -e		das	B1	law	закон
planen, plant, plante, hat geplant	planen, plant, plante, hat geplant		verb	A2	to plan	план
schwierig	schwierig		adj	A2	difficult, hard, tough	сложно
Gut	das Gut, -̈er		das	A1	estate, good(s)	хорошо
Kilometer	der Kilometer, -		der	A2	kilometer	километры
zusätzlich	zusätzlich		adj	B1	additional	дополнительно
vergessen, vergisst, vergaß, hat vergessen	vergessen, vergisst, vergaß, hat vergessen		verb	A2	to forget	забыл
Gedanke	der Gedanke, -n		der	B1	thought	мысль
besitzen, besitzt, besaß, hat besessen	besitzen, besitzt, besaß, hat besessen		verb	B1	to own, have	владеть
ach	ach		part	A2	oh	ох
Partei	die Partei, -en		die	A2	(political) party	вечеринка
freuen, freut, freute, hat gefreut	freuen, freut, freute, hat gefreut		verb	A2	to be happy	радуйся
hängen, hängt, hängte, hat gehängt	hängen, hängt, hängte, hat gehängt		verb	A2	to hang	висеть
berichten, berichtet, berichtete, hat berichtet	berichten, berichtet, berichtete, hat berichtet		verb	A2	to report	отчет
Zelle	die Zelle, -n		die	A2	cell	клетка
eng	eng		adj	A2	narrow, close	тугой
Kultur	die Kultur, -en		die	A2	culture	культура
Prozess	der Prozess, -e		der	B1	trial, process	процесс
Sohn	der Sohn, -̈e		der	A1	son	сын
Dank	der Dank		der	A1	gratefulness	спасибо
trotz	trotz		prep	B1	in spite of	несмотря на
fordern, fordert, forderte, hat gefordert	fordern, fordert, forderte, hat gefordert		verb	B1	to demand, claim	требование
studieren, studiert, studierte, hat studiert	studieren, studiert, studierte, hat studiert		verb	A1	to study	учиться
gefallen, gefällt, gefiel, hat gefallen	gefallen, gefällt, gefiel, hat gefallen		verb	A1	to please	понравилось
Mädchen	das Mädchen, -		das	A1	girl	девочки
verhalten	verhalten		verb, das	B1	to behave, act; behavior	вести себя
mindestens	mindestens		adv	A2	at least	по крайней мере
ziemlich	ziemlich		adv	B1	quite, fairly, pretty	вполне
Interesse	das Interesse, -n		das	A2	interest	интерес
unterscheiden, unterscheidet, unterschied, hat unterschieden	unterscheiden, unterscheidet, unterschied, hat unterschieden		verb	B1	to distinguish	различать
wobei	wobei		adv	A2	whereby, at what, whereat	где
jeweils	jeweils		adv	B1	each, each time	каждый
reichen, reicht, reichte, hat gereicht	reichen, reicht, reichte, hat gereicht		verb	B1	to reach, be enough	достаточно
sieben	sieben		num	A1	seven	семь
zumindest	zumindest		adv	B1	at least	по крайней мере
schlagen, schlägt, schlug, hat geschlagen	schlagen, schlägt, schlug, hat geschlagen		verb	B1	to hit, beat	ударить
Tier	das Tier, -e		das	A2	animal	животное
jedenfalls	jedenfalls		adv	A2	in any case	в любом случае
am	am		part	A2	the (+superlative)	на
erhöhen, erhöht, erhöhte, hat erhöht	erhöhen, erhöht, erhöhte, hat erhöht		verb	B1	to raise, increase	увеличилось
sorgen, sorgt, sorgte, hat gesorgt	sorgen, sorgt, sorgte, hat gesorgt		verb	B1	to worry, take care	волноваться
Erfahrung	die Erfahrung, -en		die	A2	experience	опыт
Patient	der Patient, -en		der	B1	patient	пациент
Morgen	der Morgen, -		der, adv	A1	morning; in the morning	завтра
Arzt	der Arzt, -Äe		der	A1	physician, doctor	врач
geschehen, geschieht, geschah, ist geschehen	geschehen, geschieht, geschah, ist geschehen		verb	B1	to happen, occur	случилось
Bayern	Bayern		das	A2	Bavaria	Бавария
lösen, löst, löste, hat gelöst	lösen, löst, löste, hat gelöst		verb	B1	to solve, loosen	решить
irgendwie	irgendwie		adv	A2	somehow	как-то
anbieten, bietet an, bot an, hat angeboten	anbieten, bietet an, bot an, hat angeboten		verb	A1	to offer	предложение
vorkommen, kommt vor, kam vor, ist vorgekommen	vorkommen, kommt vor, kam vor, ist vorgekommen		verb	B1	to happen, occur, seem	происходить
okay	okay		adj, das	A2	okay; okay	окей
wünschen, wünscht, wünschte, hat gewünscht	wünschen, wünscht, wünschte, hat gewünscht		verb	A2	to want, wish	желание
interessieren, interessiert, interessierte, hat interessiert	interessieren, interessiert, interessierte, hat interessiert		verb	A2	to interest	заинтересовался
Unterschied	der Unterschied, -e		der	A2	difference	разница
Foto	das Foto, -s		das	A1	photograph	фото
trinken, trinkt, trank, hat getrunken	trinken, trinkt, trank, hat getrunken		verb	A1	to drink	пить
derselbe, dieselbe, dasselbe	derselbe, dieselbe, dasselbe		pron	B1	the same (one, ones)	то же самое
wählen, wählt, wählte, hat gewählt	wählen, wählt, wählte, hat gewählt		verb	A2	to choose, elect, vote	выбирать
gleichzeitig	gleichzeitig		adj	B1	simultaneous, at the same time	в то же время
knapp	knapp		adj	B1	scarce, slim	скудный
Mitarbeiter	der Mitarbeiter, -		der	A2	employee, co-worker	сотрудники
übernehmen, übernimmt, übernahm, hat übernommen	übernehmen, übernimmt, übernahm, hat übernommen		verb	B1	to take over	взять на себя
Glück	das Glück		das	A1	luck, fortune	счастье
normal	normal		adj	A1	normal	нормальный
leider	leider		adv	A1	unfortunately	к сожалению
Grundlage	die Grundlage, -n		die	A2	basis	фонд
acht	acht		num	A1	eight	восемь
Leistung	die Leistung, -en		die	B1	performance	производительность
vorliegen, liegt vor, lag vor, hat vorgelegen	vorliegen, liegt vor, lag vor, hat vorgelegen		verb	A2	to be available, exist	присутствует
erfolgen, erfolgt, erfolgte, ist erfolgt	erfolgen, erfolgt, erfolgte, ist erfolgt		verb	A2	to take place, occur	имело место
Beziehung	die Beziehung, -en		die	B1	relation, relationship	отношения
zunehmen, nimmt zu, nahm zu, hat zugenommen	zunehmen, nimmt zu, nahm zu, hat zugenommen		verb	B1	to increase	увеличится
Molekül	das Molekül, -e		das	A2	molecule	молекула
stattfinden, findet statt, fand statt, hat stattgefunden	stattfinden, findet statt, fand statt, hat stattgefunden		verb	A2	to take place, occur	иметь место
ankommen, kommt an, kam an, ist angekommen	ankommen, kommt an, kam an, ist angekommen		verb	A1	to arrive	приехать
auftreten, tritt auf, trat auf, ist aufgetreten	auftreten, tritt auf, trat auf, ist aufgetreten		verb, das	B1	to appear, occur; behavior, conduct, occurrence, appearance	происходить
insbesondere	insbesondere		adv	A2	especially	в частности
technisch	technisch		adj	B1	technical	технический
